,Date,User,Tweet
32,2021-10-25 04:17:11+00:00,TapwaySolutions,"and Predictive Maintenance Strategies; which are widely used in Industry 4.0 applications. 

He is also appointed by the Malaysia Productivity Corporation (MPC) in collaboration with the Machinery and Equipment Productivity Nexus (MEPN) as one of the mentors (advisors) (continue)"
33,2021-10-11 01:23:46+00:00,crest_malaysia,"We have kicked off the Industry 4.0 Technology Week 2021!

Join us from today until 21 October to witness a display of Malaysia’s capabilities &amp; competencies in #IR40 technologies, through our collaboration with numerous agencies, technology centers &amp; universities."
34,2021-10-07 00:02:00+00:00,SMontigaud,Malaysia’s First Lighthouse Spearheading the Nation’s Industry 4.0 Aspirations https://t.co/R61hYUf0sr
35,2021-10-06 22:13:05+00:00,geoff_p_wade,"MALAYSIA: MoU between #HuaweiMalaysia &amp; Federation of Malaysia Manufacturers (FMM) ""is set to drive talent development, stimulate knowledge sharing &amp; training collaboration for digital transformation in the Industry 4.0.""
https://t.co/N4ZUuDtqew

https://t.co/AH0sl7tTsX https://t.co/oE8odCb0Bh"
36,2021-10-05 19:00:24+00:00,UNE_News,Industry 4.0 Driving The 12th Malaysia Plan - US News Express https://t.co/kqt4MVzmNj
37,2021-10-05 06:32:46+00:00,OfficialMIDA,"The MoU between #HuaweiMalaysia &amp; Federation of Malaysia Manufacturers (FMM) is set to drive talent development, stimulate knowledge sharing &amp; training collaboration for digital transformation in the Industry 4.0. 
https://t.co/z3QRVQNVwM"
38,2021-10-05 01:58:55+00:00,crest_malaysia,"We are excited to bring you a seven day showcase of Industry 4.0 technologies via the Industry 4.0 Technology Week 2021 which will be held from 11 - 21 October, 2021."
39,2021-10-04 07:28:53+00:00,tennouj,Malaysia is well-positioned to be a leader in Industry 4.0 technologies - and these startups are driving that growth.  #partnershipcontent https://t.co/gGsFPounrq
40,2021-10-04 06:51:21+00:00,techinasia,Malaysia is well-positioned to be a leader in Industry 4.0 technologies - and these startups are driving that growth.  #partnershipcontent https://t.co/b00WhYc9fc
41,2021-09-28 03:59:24+00:00,_satasia,"""The triple helix partnership between industry, government and academia will be strengthened under the 12MP (12th #Malaysia Plan) to accelerate the digitalisation and automation of the supply chain as part of its Industry 4.0 transformation."" https://t.co/h0BXt0doDS #aerospace"
42,2021-09-27 13:54:15+00:00,OfficialMIDA,"23 Sept: The 5th Investment Working Group of the Malaysia-Taiwan Economic Cooperation Committee explored tie-ups in Industry 4.0; supply chain in E&amp;E, M&amp;E, ICT, Medical Devices, Functional and Medical Textiles; ITRI-MIDA-SIRIM; along with ESG sustainable production. https://t.co/fa8vIfI4WJ"
43,2021-09-21 15:51:18+00:00,IUFRO,"Adoption of industry 4.0 in #WoodProducts manufacturing - if this sounds interesting you should come to this #IUFROWorldDay session at 22:30 UTC on 28 September. Find it in Kuala Lumpur, Malaysia on the interactive map. 

Register at https://t.co/CkayVd4IFE

#ScienceCollaboration https://t.co/imr1TRsgdm"
44,2021-09-20 03:41:43+00:00,star_scholars,"📢Cool Opportunity Alert

Participate and share about the 1st International Youth Conference 2021 entitled “The role of Youth in the Era of Industry 4.0” being organized by @star_scholars based virtually out of #Malaysia!

For more details: https://t.co/Y2Nq6SIk7E"
45,2021-09-14 06:55:12+00:00,OfficialMIDA,"#Malaysia boasts of Industry 4.0 capabilities, excellent shipping and production facilities, world-class #infrastructure, skilled multilingual #workforce that enable investors to capitalise and expand their operation. Connect with @OfficialMIDA to learn more! #InvestMalaysia https://t.co/3kLkXqNdhu"
46,2021-09-10 12:11:00+00:00,XremoMY,"Malaysia paves the way to a digital-first Industry 4.0 era and in-demand for tech skills.

Check out this 5 amazing careers that highly sought after in 2021!✨

#Xremo #XremoJob #RecruitmentSolutions
#FindYourDreamJob #JobPortal #Factoftheday
#jobdemands #careertrends2021 https://t.co/z9kT6tDiuq"
47,2021-09-09 07:04:35+00:00,MaranMatters,"@dhillonkevin Yes, productivity and knowledge with ability to deliver results is the key. Malaysia was successful in 80's and 90's for that reason.
Now you are suggesting trade in a piece of paper for RM5K. What the worth of that paper?
Move forward to Industry 4.0"
48,2021-09-04 10:37:34+00:00,ScInnoTechE,"@bernamadotcom @DrAdhamBaba @officialmosti Pembangunan vaksin adalah satu perkara yang amat dialukan.Negara wajib membina keupayaan dan kepakaran penghasilan vaksin. Kita tidak dapat jangka masalah penyakit akan datang.
Berkaitan IR 4.0, masih lembab di Malaysia sementara negara maju sudah melangkah Industry 5.0."
49,2021-09-02 12:23:11+00:00,Danishhaqime_7,"@AnnuarMusa I hope that the government can push Malaysia to improve its connectivity infrastructure, particularly in industry relevent to industry 4.0, because Malaysia, in my opinion, lags significantly behind its neghbours. Thank You https://t.co/2hj6v2W4W8"
50,2021-08-19 08:08:59+00:00,NNA9522,"I think when people said nak Malaysia jadi Singapore. People are talking about their facility, industry 4.0, connectivity, easy to do business, funding startup. Salah ke nak Malaysia jadi mcm tue? We got more Malaysia live in JB that will go to Woodlands Pagi2 untuk kerja di SG"
51,2021-08-02 06:52:44+00:00,michael_warren,"18 Feb - Malaysia launch MyDIGITAL 
01 Jul - Malaysia launch National IR 4.0 
11 Aug - UKM industry government Digital Forum

Will these blueprints work, how can they be better.
Join heads of MOSTI, EPU, Cradle facilitated by UKM.

Register at https://t.co/8qZhOiqbVo https://t.co/q6e42XbpFP"
52,2021-07-21 11:01:44+00:00,imnormgoh,"Hello there! 

Check out the speakers in the upcoming Voice of the Markets Series: Malaysia Roadshow on 28 July, 2.00 pm - 4.15 pm. 

Hear what they have to say on Industry 4.0 development and manufacturing priorities in Malaysia!

FREE REGISTRATION HERE: https://t.co/ZfgqIOhWwy https://t.co/cQwY4GjQv5"
53,2021-07-17 10:58:13+00:00,TEEAM_MY,"ITAP Webinar Series - 28 July 2021, 2.00 pm. Voice of the Markets Series - Malaysia Industry 4.0 Forum
Registration link: https://t.co/zexxBORL5l
A focused roadshow series to support manufacturing industries &amp; businesses in their digitalisation &amp; industrial transformation journey https://t.co/tApdzfXkL5"
54,2021-07-09 18:05:42+00:00,zahargerimis,Malaysia already on landasan industry 4.0 . Menteri MALAYSIA still on 2.0
55,2021-06-24 11:08:58+00:00,hazrep,"@WinterSoldier7h Dulu ade kerja company software, so terlibat engineer programs n events. Tahun 2018 lg dh bincang Malaysia xleh capai n bkn fokus utama industry 4.0 ni, sbb kita tngh hadap mslh lain especially students x mau ambk programs sains 😂😂. Biar jela bg kt negara SEA lain 😜"
56,2021-06-24 09:59:12+00:00,NelloMurone,"PM Yassin
next evolution of Asean should do Malaysia as a first for industry 4.0. But nothing comes free? Smarty cities. Rob-"
57,2021-06-21 07:07:18+00:00,AdmSci_MDPI,"🎲Read the #openaccess paper ""Industry 4.0 Readiness of Technology Companies: A Pilot Study from Malaysia"" by Mansoor Ahmed Soomro et al. 

@ukm_my @PROUniMAP 

#Industry40 #Digital #transformation #technology 

Read at: https://t.co/2BM4nuNZrT https://t.co/hpm7AvF53L"
58,2021-06-21 06:00:40+00:00,InvestKL,"Kuala Lumpur's aspiration align with Malaysia's national policy on Industry 4.0, which aims to drive digital transformation of the manufacturing and related service sectors through the optimization of people, process and technology. Find out more: https://t.co/MDwdYOHHED https://t.co/UobnOXEg4N"
59,2021-06-20 05:20:59+00:00,rvp,"#RaviVisvesvarayaSharadaPrasad  https://t.co/4QrKUWJOJ7  IoT For You February  MyIoTA Malaysia IoT Association  Our 2nd edition of IoT For You talks about 6G, IoT Connectivity, Industry 4.0, Smart Cities &amp; more"
60,2021-06-18 13:08:00+00:00,UNITARofficial,"The ICT sector in Malaysia including cloud, Data Analytics, E-commerce and more have been identified as the main drivers for Industry 4.0 and Smart City development. Interested in studying Information Technology and contributing to the next phase of this fast-developing field? https://t.co/H8XjezsMcA"
61,2021-06-17 01:31:38+00:00,najihahshahrel,"malaysia: ke arah Industry 4.0
si bodoh yang ada kuasa: kita kasi je low specs phone dekat budak budak ni."
62,2021-06-15 02:52:22+00:00,MYrubbercouncil,practical and feasible solutions to organisations. RESPECT aims to transform the industry players in Malaysia towards Industrial Revolution 4.0. (4/8)
63,2021-05-31 12:07:01+00:00,LofiRamli,"Singapore masih dibayangi cara kerja lama, obsolete dh. 
Malaysia share .pdf file saja, Industry 4.0 y’all ✌🏼 https://t.co/CjiM1JJHlj"
64,2021-05-28 09:44:39+00:00,TalentCorpMsia,"Noor Asmaliza Romlee, from Industry Partnership, shared about “Talent Management for Industry 4.0” and gave her insights on STEM &amp; IR4.0 and how Malaysia’s talent can prepare for current changes in the Industry 4.0 marketplace."
65,2021-05-27 22:47:12+00:00,EurasiaReview,"Malaysia's Planners See Yet Another Mirage - Analysis
https://t.co/8S6V5QIxuc
Government must focus on the rural heartland, not Industry 4.0

Although Malaysia’s government wants to move the country’s manufacturing base from low-end assembly and labor-intensive production t... https://t.co/25GE81sJhU"
66,2021-05-27 11:26:20+00:00,asiasentinel,"""History shows what happened to #Malaysia’s multi-media and biotech initiatives. Industry 4.0 is likely to go the same way. Resources must go to the communities to make any real economic and social difference."" https://t.co/Dn3V7NPu9a"
67,2021-05-27 02:40:34+00:00,XTSTECH1,Industry 4.0 Malaysia https://t.co/VaDZhjlTeT https://t.co/2bBOZE1sj3
68,2021-04-29 02:53:02+00:00,Mag_HR,"[LIVE] Next up, we had an exciting session on ""Embracing people-centric leadership in Industry 4.0”. Terry Khoo, Vice President, Human Resources of Infineon Technologies, Malaysia shared how we can drive human capital to meet the demands of digitisation. #LearningDevelopmentAsia https://t.co/dV4D49tyna"
69,2021-04-28 04:45:00+00:00,CurtinMalaysia,"Curtin Malaysia senior lecturer in accounting and researcher Dr. Dhanuskodi Rengasamy highlights how Industry 4.0 is benefitting businesses, improving productivity and competitiveness.
Read Dr. Dhanuskodi’s article ‘Business Model and Industry 4.0’ at https://t.co/z8QNTC7HQB https://t.co/zAN5p3BhWy"
70,2021-04-14 05:28:05+00:00,iSecurity,Vanessa Tan joins a Panel Discussion on IR 4.0 and the Future of the IT Industry in Malaysia https://t.co/q6DShuOMeo #informationtechnology #jobs #university
71,2021-04-13 05:58:08+00:00,mymdec,"The @hannover_messe session with @iSurinaShukri on Malaysia 5.0, #MyDIGITAL &amp; Industry 4.0 will be starting soon. To watch the session register at https://t.co/juaJ1BsqSw

@messeworldwide @Beyond4Tech https://t.co/EQMqJn9UhU"
72,2021-04-12 05:17:49+00:00,mymdec,"Watch #MYMDEC CEO, @iSurinaShukri this 13 April, 2pm at the @hannover_messe discussion on Malaysia 5.0, #MyDIGITAL Blueprint + Industry 4.0. Register over at https://t.co/QWbXnZYxZi to watch the session and gain free entry into the exhibition. https://t.co/a6v8lQDQGf"
73,2021-04-12 04:25:51+00:00,RoyAy97,@twt_malaysia @meinmokhtar How can i approach to these since i am graduating from Economics &amp; Finance. I mean is there any job in industry hat combines both of these ( finance &amp; coding / Ai / IR 4.0)
74,2021-04-06 08:40:54+00:00,SIRIM_Berhad,The Malaysia-Japan collaboration to assist Malaysian manufacturing SMEs adopt smart manufacturing enters 2nd phase which involves business matching and creation of showcases of Industry 4.0 technologies between Japanese solution providers and the SMEs. @MITIMalaysia @OfficialMIDA https://t.co/N1twR5hIl9
75,2021-04-04 13:23:59+00:00,syawal,"Kalau nk cakap berbelit, agak² la skit boleh? Tidak semua rakyat #malaysia simple minded?! 

🐳?

""#Malaysia was busy wasting time &amp; money on ancient ideas such as developing flying cars &amp; not a data centre &amp; Industry 4.0 revolution""

#echo #bitfrost
 https://t.co/4ZN32wnYBv https://t.co/HcOA4kGMT2"
76,2021-03-28 14:39:39+00:00,DhlExpressMY,✨MIDA’s Lighthouse Project concept to enable MNCs and local corporations that successfully gain from Industry 4.0 transformation to guide &amp; support Malaysia’s local manufacturing industries to also implement the Fourth Industrial Revolution processes in gaining business traction
77,2021-03-26 10:09:48+00:00,usembassykl,"1/ Ambassador McFeeters spoke with the U.S. business community in Malaysia this week, launching an Industry Revolution 4.0 and U.S. Smart Technology event series organized by @AmChamMalaysia and Embassy Kuala Lumpur’s U.S. Commercial Service. https://t.co/4ADu1k374Y"
78,2021-03-15 04:25:27+00:00,sitsalwa_,@MITIMalaysia Viva soon. But I look forward to future collaboration regarding Industry 4.0 and SMEs in Malaysia.
79,2021-03-04 12:45:13+00:00,faeezrahman97,malaysia baru nak up industry 4.0. ni lah time cun.
80,2021-02-17 07:40:38+00:00,MITIMalaysia,"The investment of a Swedish-Swiss company, ABB, in Malaysia will benefit the local industries through the transfer of knowledge, specifically in the area of Industry 4.0. ABB believes that Malaysia has a conducive environment for automation and digitalisation activities. #FDI https://t.co/tXK0ISYpE8"
81,2021-02-06 11:48:43+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q https://t.co/qPWOHwSUKi
82,2021-02-05 06:22:08+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q
83,2021-02-04 12:44:26+00:00,jayp007,"@hcikl @PMOIndia @DrSJaishankar @HarshShringla @MEAIndia @MOHEOfficial @EduMinOfIndia @unimalaya Applause 👏 Good initiative ..lots of indian IT expats, Phd students  in malaysia are supporting the both  country’s economies during the pandemic. More of virtual hackathon like these to be encouraged &amp; allows them  to contribute new innovation for industry 4.0. #indianexpats"
84,2021-02-04 11:01:14+00:00,NoidaScms,"SCMS NOIDA is organising a webinar on ""Impact of Industry 4.0 on International Trade"" on Feb.05, 2021 at 1:00p.m with Mr. Sandeep Singh, Founder &amp; Director, The Farm Trade, Malaysia as the speaker who will be enlightening the students with his enriched knowledge and experience. https://t.co/DEXP7V1kI3"
85,2021-02-04 00:10:07+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q
86,2021-02-04 00:09:11+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q https://t.co/GF3hy8GL08
87,2021-02-03 04:06:03+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q
88,2021-02-01 21:08:09+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q https://t.co/PMShw6gohq
89,2021-02-01 12:22:06+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q
90,2021-01-31 09:32:15+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q
91,2021-01-31 09:31:30+00:00,prosyscom_it,Creating Industry 4.0 champions in Malaysia https://t.co/7cnbbNo33q https://t.co/8xC7VQA8YW
92,2021-01-16 12:26:56+00:00,TheRealAfuilera,"~Malaysia wants to achieve industry revolution 4.0 but, it gets 4k covid cases instead. Well, at least something. Noice 👌🏻~"
93,2020-12-31 04:45:00+00:00,theknowledgerv,"Technological Influence in the Medical Industry &amp; What it means for Industry 4.0 &amp; Education 4.0

Author Dr. #MaliniEliatamby is the Chief Academic Officer of @INTI_edu, Malaysia.

read more- https://t.co/1ELpW7l8Ep
#medicalindustry #healthcareservices #medicaleducation https://t.co/thJgg6LlPR"
94,2020-12-18 04:35:50+00:00,BusinessTodayM1,BPMB announces strategic collaborations with KMP &amp; MTDC to advance Malaysia’s industry 4.0 initiatives https://t.co/dAleORbnil
95,2020-12-11 11:38:50+00:00,MayankVermaIITD,"DG, NPC during discussion with dignitaries from ASEAN &amp; APO, Japan, STAMEQ, Vietnam and Malaysia Productivity Corporation (MPO) emphasized upon the role of Industry 4.0 on shaping up the future landscape of MSME sector in India. @TheAPONews @MPC_HQ @minmsme @NPC_INDIA_GOV https://t.co/fV6rC9VTfn"
96,2020-12-03 07:05:12+00:00,ny_asmani,"Today's discussion with the representative of Telekom Malaysia , Dr Anuar Musa from R&amp;D department. We talked about IR 4.0, 5G progression and current tech industry. We talked about data science especially. Interesting talk. https://t.co/rofCB5bR2B"
97,2020-12-03 01:12:51+00:00,MYCGHKSAR,"CG of #Malaysia in #HongKong Yap Wei Sin gave the opening remarks at the #ASEAN Think Tanks Network’s “Empowering ASEAN 4.0” Virtual Conference on 27 November 2020, which focused on ASEAN &amp; Industry 4.0 opportunities for students, &amp; young leaders &amp; entrepreneurs. 

@MalaysiaMFA https://t.co/TCDRR35gmA"
98,2020-11-25 15:15:54+00:00,Aishallerin,"@muhdsyaqeer 1.0 introduction
  1.1Definition and history

2.0 Discussion
  2.1 halal industry in malaysia
  2.2 halal cert/ background
  2.3 potential of halal industry
  2.4 collab

3.0 conclusion
4.0 references"
99,2020-11-22 13:33:46+00:00,nasspeko,"@az_azaim Mustahil la nak sampai ada virtual idol kat Malaysia. Tp utk ganti acara hiburan macam ni, going virtual ni satu solusi dan norma baru yang elok.

Industry 4.0 kan?"
100,2020-10-28 08:53:14+00:00,InvestKL,Robotics adoption is integral in achieving Malaysia’s Industry 4.0 aspirations. Industry analysts anticipate significant robotics adoption opportunities in the small and medium-sized enterprise (SME) sector of which 98.5% are manufacturing companies. https://t.co/uvLtzo2rdc https://t.co/qQfi91u7ro
101,2020-10-27 02:22:12+00:00,DhlExpressMY,"✨Kuala Lumpur’s Industry 4.0 transformation is well supported by Malaysia’s 👉national policies, 👉roadmaps and policy frameworks, 👉government initiatives and tax incentives, also 👉augments the city’s readiness to be a dynamic digital hub in the region."
102,2020-10-23 09:33:28+00:00,Shanaliag,"https://t.co/NfzsgVDR04 
Expert Talent Solutions has been formed to evolve the current rapid changes within the Human Resource professionals in the business world to fit the Industry 4.0 vision as an executive search firm. 
Click the link below for further details.
#Malaysia"
103,2020-10-18 23:05:06+00:00,StartUpBorneo,KOTA SAMARAHAN: Universiti Malaysia Sabah (UMS)’s HappyGoLucky group emerged champion of the Industry 4.0 (I4.0) Virtual Hackathon East Malaysia 2020. https://t.co/pdUuu49ldP https://t.co/lGSi2NnQ9u
104,2020-10-18 23:01:00+00:00,serba_digitalx,KOTA SAMARAHAN: Universiti Malaysia Sabah (UMS)’s HappyGoLucky group emerged champion of the Industry 4.0 (I4.0) Virtual Hackathon East Malaysia 2020. https://t.co/lM79DoZocj https://t.co/2gnkRfmGyT
105,2020-10-18 22:59:17+00:00,IAViC2019,KOTA SAMARAHAN: Universiti Malaysia Sabah (UMS)’s HappyGoLucky group emerged champion of the Industry 4.0 (I4.0) Virtual Hackathon East Malaysia 2020. https://t.co/hg4xf0Io5p https://t.co/Qsmg9CADN0
106,2020-10-18 22:57:30+00:00,KchKpgHeritage,KOTA SAMARAHAN: Universiti Malaysia Sabah (UMS)’s HappyGoLucky group emerged champion of the Industry 4.0 (I4.0) Virtual Hackathon East Malaysia 2020. https://t.co/G4eNIphbV3 https://t.co/tPffjqQvJT
107,2020-10-18 22:55:59+00:00,OldKchHeritage,KOTA SAMARAHAN: Universiti Malaysia Sabah (UMS)’s HappyGoLucky group emerged champion of the Industry 4.0 (I4.0) Virtual Hackathon East Malaysia 2020. https://t.co/RCUW8NHLIi https://t.co/CAYdHOeUWv
108,2020-10-17 07:07:21+00:00,TenagaBelia,"Round 2: What do you think is the main challenge to achieve energy 4.0 (managing power grids efficiently and intelligently on a large scale)?

Prof Linda:  Technology. Most industries in Malaysia are not ready for Industry 4.0, IOT, Big Data Analytics and automation.    [11]"
